id,project_name,job_name,workflow_name,step,labels
6598,apache/storm,"build (ubuntu-latest, 17, External, false)",Java CI with Maven,Set up project dependencies,['ubuntu-latest']
6703,arextest/arex-agent-java,build-source (17),Build and Test,Build with Maven,['ubuntu-latest']
6781,faforever/downlords-faf-client,checks,Checks,Run Checks,['ubuntu-latest']
6782,faforever/downlords-faf-client,checks,Checks,Run Checks,['ubuntu-latest']
6784,faforever/downlords-faf-client,checks,Checks,Run Checks,['ubuntu-latest']
6874,wyt1215819315/autoplan,build,Maven Package,Build with Maven,['ubuntu-latest']
6929,steve-community/steve,"build (ubuntu-22.04, 17, mariadb:10.3)",build and run tests,Build with Maven,['ubuntu-22.04']
6957,steve-community/steve,"build (ubuntu-22.04, 11, mysql:8.0)",build and run tests,Build with Maven,['ubuntu-22.04']
6965,steve-community/steve,"build (ubuntu-20.04, 11, mariadb:10.3)",build and run tests,Build with Maven,['ubuntu-20.04']
7027,dlsc-software-consulting-gmbh/workbenchfx,Build,Build,Build and analyze,['ubuntu-latest']
7113,quarkusio/quarkus-images,"Build and Push images (mandrel builder images, quarkus-mandrel-builder-image)",Push Images to Quay,Build images,['ubuntu-latest']
7420,segler-alex/radiodroid,test (27),RadioDroid Instrumented Tests CI,Run instrumented tests on Android virtual device,['macos-latest']
7496,mybatis/mybatis-3,"Test JDK 11, ubuntu-latest",Java CI,Test with Maven,['ubuntu-latest']
7507,mybatis/mybatis-3,"Test JDK 11, windows-latest",Java CI,Test with Maven,['windows-latest']
7535,graphql-java/graphql-java,buildAndTest 17 (semeru) on windows-latest,PR Verify,Test,['windows-latest']
7562,wicketstuff/core,Java 17 Test,Test WicketStuff,Build & test (& deploy),['ubuntu-latest']
7586,nhirokinet/bluelineconsole,Android connectedCheck (22),Android connectedCheck,Android Emulator Runner,['macos-latest']
7606,tinylog-org/tinylog,Build with JDK 17,Build Repository,Build with Maven,['ubuntu-22.04']
7636,kohlschutter/junixsocket,Analyze (java),CodeQL,"Run echo ""Build junixsocket with Maven (no tests)""",['ubuntu-latest']
7675,gluonhq/scenebuilder,verify (ubuntu-latest),Scene Builder PR Verify,Setup Java,['ubuntu-latest']
7713,kcctl/kcctl,build (3.1),Build,Build,['ubuntu-latest']
7744,milvus-io/milvus-sdk-java,Build and test,Java CI with Maven,Build with Maven,['ubuntu-latest']
7746,milvus-io/milvus-sdk-java,Build and test,Java CI with Maven,Build with Maven,['ubuntu-latest']
7804,javaparser/javaparser,"maven_test (ubuntu-latest, 9)",Build and test (using maven),Test with Maven (incl. slow tests),['ubuntu-latest']
7817,javaparser/javaparser,"maven_test (ubuntu-latest, 10)",Build and test (using maven),Test with Maven (incl. slow tests),['ubuntu-latest']
7877,javaparser/javaparser,"maven_test (ubuntu-latest, 8)",Build and test (using maven),Test with Maven (incl. slow tests),['ubuntu-latest']
7884,javaparser/javaparser,"maven_test (ubuntu-latest, 9)",Build and test (using maven),Test with Maven (incl. slow tests),['ubuntu-latest']
7886,javaparser/javaparser,"maven_test (macos-latest, 8)",Build and test (using maven),Test with Maven (incl. slow tests),['macos-latest']
