id,project_name,job_name,workflow_name,step,labels
14035,certcc/kaiju,"Run Tests on Push or PR (ubuntu-latest, 10.3.2)",Run Tests on Push or PR,Run tests with Gradle,['ubuntu-latest']
14181,alibaba/jetcache,build,Java CI with Maven,Build without coveralls report,['ubuntu-latest']
14281,nitorcreations/nflow,build-and-test-nflow-explorer-ng,Build and test,Run build and unit tests,['ubuntu-latest']
14394,micromata/projectforge,build,Java CI with Maven,Build with Maven,['ubuntu-latest']
14400,stratospheric-dev/stratospheric,Build and publish Todo App,04 - Publish Todo-App,Build application,['ubuntu-20.04']
14406,bioinformatics-ua/dicoogle,build (latest),Build Webapp with Node.js,Check & build webapp,['ubuntu-latest']
14450,line/armeria,upload-build-cache (windows-latest),Upload artifacts to ge.armeria.dev,Build with Gradle,['windows-latest']
14466,line/armeria,build-self-hosted-jdk-17-leak,CI,Build with Gradle,['self-hosted']
14508,agronick/aa-torque,build_deploy,ci,Bump version,['ubuntu-latest']
14577,ballerina-platform/module-ballerinax-aws.lambda,build,Ballerinax AWS Lambda Build,Build with Maven,['ubuntu-latest']
14590,iportalteam/immersiveportalsmod,build,Gradle Package,Run eskatos/gradle-command-action@v1,['ubuntu-latest']
14607,jnr/jnr-ffi,"mvn-test-x86 (ubuntu-latest, 11)",Java CI with Maven,Build with Maven,['ubuntu-latest']
14704,ballerina-platform/module-ballerina-protobuf,fossa-scan,Fossa Scan,Run fossas/fossa-action@main,['ubuntu-latest']
14784,saml-toolkits/java-saml,Java 11 (ubuntu-latest),java-saml CI with Maven,Maven Test,['ubuntu-latest']
14788,saml-toolkits/java-saml,Java 11 (ubuntu-latest),java-saml CI with Maven,Maven Test,['ubuntu-latest']
14822,polardb/polardbx-sql,DDL_TEST,DML_DDL_Test,Deploy PolarDB-X Cluster,['ubuntu-latest']
14834,netcentric/accesscontroltool,"build (ubuntu-latest, 11)",Java CI,Build and Analyse with Maven,['ubuntu-latest']
14845,netcentric/accesscontroltool,"build (macOS-latest, 8)",Java CI,Build with Maven,['macOS-latest']
14855,braintree/braintree-android-drop-in,Unit Tests,Tests,Unit Tests,['ubuntu-latest']
15172,hantsy/spring-microservice-sample,build,Java CI with Maven,Build with Maven,['ubuntu-latest']
15182,hantsy/spring-microservice-sample,build,Java CI with Maven,Build with Maven,['ubuntu-latest']
15194,jmonkeyengine/jmonkeyengine,Build on linux jdk17,Build jMonkeyEngine,Build Engine,['ubuntu-latest']
15215,jmonkeyengine/jmonkeyengine,Build on mac jdk17,Build jMonkeyEngine,Validate the Gradle wrapper,['macOS-latest']
15222,jmonkeyengine/jmonkeyengine,Build on mac jdk17,Build jMonkeyEngine,Build Engine,['macOS-latest']
15224,jmonkeyengine/jmonkeyengine,Build on windows jdk8,Build jMonkeyEngine,Build Engine,['windows-2019']
15230,jmonkeyengine/jmonkeyengine,Build on windows jdk17,Build jMonkeyEngine,Build Engine,['windows-2019']
15263,resteasy/resteasy,"build (ubuntu-latest, 21)",Build and Test RESTEasy,Build with Maven Java 21 - ubuntu-latest,['ubuntu-latest']
15290,intoolswetrust/jsignpdf,build,Java CI,Build with Maven,['ubuntu-latest']
15315,scalar-labs/scalardb,Docker,CI,Run Trivy vulnerability scanner for Scalar DB Server,['ubuntu-latest']
15347,apache/shardingsphere-elasticjob,Check - Spotless,Required - Check,Run Spotless,['ubuntu-latest']
